Time - Plot 0	Amplitude - Plot 0	
0	0.570923	
8E-9	0.511108	
1.6E-8	0.56958	
2.4E-8	0.687866	
3.2E-8	0.524292	
4E-8	0.392944	
4.8E-8	0.715698	
5.6E-8	0.372803	
6.4E-8	0.643921	
7.2E-8	0.431152	
8E-8	0.578613	
8.8E-8	0.723389	
9.6E-8	0.69873	
1.04E-7	0.741577	
1.12E-7	0.569336	
1.2E-7	0.644409	
1.28E-7	0.634277	
1.36E-7	0.720825	
1.44E-7	0.672607	
1.52E-7	0.74585	
1.6E-7	0.651489	
1.68E-7	0.528076	
1.76E-7	0.469604	
1.84E-7	0.473633	
1.92E-7	0.69751	
2E-7	0.752197	
2.08E-7	0.616577	
2.16E-7	0.657837	
2.24E-7	0.401733	
2.32E-7	0.614136	
2.4E-7	0.641724	
2.48E-7	0.650757	
2.56E-7	0.69397	
2.64E-7	0.465332	
2.72E-7	0.604248	
2.8E-7	0.774414	
2.88E-7	0.49231	
2.96E-7	0.517456	
3.04E-7	0.490601	
3.12E-7	0.529175	
3.2E-7	0.696045	
3.28E-7	0.715942	
3.36E-7	0.533569	
3.44E-7	0.492676	
3.52E-7	0.780762	
3.6E-7	0.494995	
3.68E-7	0.722046	
3.76E-7	0.786865	
3.84E-7	0.510132	
3.92E-7	0.572998	
4E-7	0.618774	
4.08E-7	0.457764	
4.16E-7	0.775879	
4.24E-7	0.561157	
4.32E-7	0.435059	
4.4E-7	0.659668	
4.48E-7	0.639648	
4.56E-7	0.511108	
4.64E-7	0.752563	
4.72E-7	0.705444	
4.8E-7	0.736572	
4.88E-7	0.590576	
4.96E-7	0.755737	
5.04E-7	0.592041	
5.12E-7	0.701782	
5.2E-7	0.681885	
5.28E-7	0.802124	
5.36E-7	0.809937	
5.44E-7	0.541748	
5.52E-7	0.685547	
5.6E-7	0.487793	
5.68E-7	0.793823	
5.76E-7	0.469849	
5.84E-7	0.588135	
5.92E-7	0.730347	
6E-7	0.522827	
6.08E-7	0.465576	
6.16E-7	0.748657	
6.24E-7	0.548706	
6.32E-7	0.781372	
6.4E-7	0.545532	
6.48E-7	0.626709	
6.56E-7	0.575806	
6.64E-7	0.526978	
6.72E-7	0.500977	
6.8E-7	0.721436	
6.88E-7	0.791748	
6.96E-7	0.794067	
7.04E-7	0.474365	
7.12E-7	0.464966	
7.2E-7	0.639648	
7.28E-7	0.682495	
7.36E-7	0.762817	
7.44E-7	0.761597	
7.52E-7	0.745483	
7.6E-7	0.768921	
7.68E-7	0.597778	
7.76E-7	0.797119	
7.84E-7	0.755249	
7.92E-7	0.634155	
8E-7	0.493164	
8.08E-7	0.581909	
8.16E-7	0.578613	
8.24E-7	0.552002	
8.32E-7	0.56189	
8.4E-7	0.510254	
8.48E-7	0.491455	
8.56E-7	0.539795	
8.64E-7	0.775024	
8.72E-7	0.638428	
8.8E-7	0.78894	
8.88E-7	0.599731	
8.96E-7	0.494141	
9.04E-7	0.515625	
9.12E-7	0.766479	
9.2E-7	0.440796	
9.28E-7	0.579224	
9.36E-7	0.562866	
9.44E-7	0.590576	
9.52E-7	0.508179	
9.6E-7	0.664795	
9.68E-7	0.77478	
9.76E-7	0.702637	
9.84E-7	0.439819	
9.92E-7	0.661133	
1E-6	0.573242	
1.008E-6	0.633911	
1.016E-6	0.736938	
1.024E-6	0.468628	
1.032E-6	0.623657	
1.04E-6	0.757568	
1.048E-6	0.686523	
1.056E-6	0.743774	
1.064E-6	0.538696	
1.072E-6	0.695312	
1.08E-6	0.623779	
1.088E-6	0.753052	
1.096E-6	0.535767	
1.104E-6	0.422363	
1.112E-6	0.691895	
1.12E-6	0.490601	
1.128E-6	0.474365	
1.136E-6	0.574219	
1.144E-6	0.675781	
1.152E-6	0.606323	
1.16E-6	0.408325	
1.168E-6	0.636475	
1.176E-6	0.646606	
1.184E-6	0.484497	
1.192E-6	0.626343	
1.2E-6	0.45105	
1.208E-6	0.497192	
1.216E-6	0.480957	
1.224E-6	0.463379	
1.232E-6	0.39209	
1.24E-6	0.590088	
1.248E-6	0.623413	
1.256E-6	0.666992	
1.264E-6	0.70459	
1.272E-6	0.544922	
1.28E-6	0.515869	
1.288E-6	0.518311	
1.296E-6	0.704468	
1.304E-6	0.497681	
1.312E-6	0.383545	
1.32E-6	0.390259	
1.328E-6	0.44519	
1.336E-6	0.631714	
1.344E-6	0.347534	
1.352E-6	0.329712	
1.36E-6	0.513428	
1.368E-6	0.392456	
1.376E-6	0.638184	
1.384E-6	0.671143	
1.392E-6	0.387451	
1.4E-6	0.473999	
1.408E-6	0.466309	
1.416E-6	0.652588	
1.424E-6	0.334106	
1.432E-6	0.311279	
1.44E-6	0.611328	
1.448E-6	0.615601	
1.456E-6	0.652832	
1.464E-6	0.276611	
1.472E-6	0.58252	
1.48E-6	0.419922	
1.488E-6	0.4375	
1.496E-6	0.301392	
1.504E-6	0.464478	
1.512E-6	0.270386	
1.52E-6	0.334839	
1.528E-6	0.356445	
1.536E-6	0.283569	
1.544E-6	0.24939	
1.552E-6	0.439697	
1.56E-6	0.560181	
1.568E-6	0.573853	
1.576E-6	0.255859	
1.584E-6	0.240234	
1.592E-6	0.535156	
1.6E-6	0.438843	
1.608E-6	0.312134	
1.616E-6	0.532837	
1.624E-6	0.222412	
1.632E-6	0.399292	
1.64E-6	0.573608	
1.648E-6	0.209351	
1.656E-6	0.318115	
1.664E-6	0.51709	
1.672E-6	0.27417	
1.68E-6	0.334839	
1.688E-6	0.333496	
1.696E-6	0.438721	
1.704E-6	0.484375	
1.712E-6	0.424194	
1.72E-6	0.402344	
1.728E-6	0.437012	
1.736E-6	0.371704	
1.744E-6	0.213257	
1.752E-6	0.245117	
1.76E-6	0.396118	
1.768E-6	0.178589	
1.776E-6	0.293457	
1.784E-6	0.476562	
1.792E-6	0.178223	
1.8E-6	0.146851	
1.808E-6	0.155029	
1.816E-6	0.46875	
1.824E-6	0.416748	
1.832E-6	0.126099	
1.84E-6	0.168701	
1.848E-6	0.208618	
1.856E-6	0.161011	
1.864E-6	0.113525	
1.872E-6	0.394775	
1.88E-6	0.405518	
1.888E-6	0.448364	
1.896E-6	0.367187	
1.904E-6	0.26062	
1.912E-6	0.291626	
1.92E-6	0.175293	
1.928E-6	0.327148	
1.936E-6	0.345581	
1.944E-6	0.310059	
1.952E-6	0.390991	
1.96E-6	0.0869141	
1.968E-6	0.158813	
1.976E-6	0.265869	
1.984E-6	0.158081	
1.992E-6	0.0527344	
2E-6	0.356567	
2.008E-6	0.397095	
2.016E-6	0.250122	
2.024E-6	0.144531	
2.032E-6	0.0769043	
2.04E-6	0.194702	
2.048E-6	0.313843	
2.056E-6	0.331543	
2.064E-6	0.362305	
2.072E-6	0.0390625	
2.08E-6	0.33313	
2.088E-6	0.272827	
2.096E-6	0.00280762	
2.104E-6	0.21936	
2.112E-6	0.0699463	
2.12E-6	0.106689	
2.128E-6	0.168335	
2.136E-6	0.0834961	
2.144E-6	0.33728	
2.152E-6	0.310181	
2.16E-6	0.253418	
2.168E-6	0.212891	
2.176E-6	0.085083	
2.184E-6	0.18103	
2.192E-6	0.0141602	
2.2E-6	0.0653076	
2.208E-6	-0.0473633	
2.216E-6	0.278809	
2.224E-6	-0.0578613	
2.232E-6	-0.0731201	
2.24E-6	0.161865	
2.248E-6	-0.0789795	
2.256E-6	0.165649	
2.264E-6	-0.00549316	
2.272E-6	0.240479	
2.28E-6	-0.00195312	
2.288E-6	0.163452	
2.296E-6	0.0610352	
2.304E-6	0.169067	
2.312E-6	-0.0389404	
2.32E-6	0.036377	
2.328E-6	0.0319824	
2.336E-6	0.197021	
2.344E-6	0.0876465	
2.352E-6	-0.0638428	
2.36E-6	-0.0491943	
2.368E-6	-0.136597	
2.376E-6	-0.10022	
2.384E-6	0.0540771	
2.392E-6	-0.078125	
2.4E-6	0.00915527	
2.408E-6	-0.0136719	
2.416E-6	0.140503	
2.424E-6	0.0307617	
2.432E-6	-0.139282	
2.44E-6	0.109985	
2.448E-6	0.0789795	
2.456E-6	0.0197754	
2.464E-6	-0.0672607	
2.472E-6	-0.0505371	
2.48E-6	-0.108887	
2.488E-6	0.150391	
2.496E-6	0.0200195	
2.504E-6	0.0390625	
2.512E-6	-0.161499	
2.52E-6	-0.1875	
2.528E-6	-0.148315	
2.536E-6	0.0100098	
2.544E-6	-0.204468	
2.552E-6	-0.0224609	
2.56E-6	0.0698242	
2.568E-6	-0.130127	
2.576E-6	-0.00292969	
2.584E-6	-0.0493164	
2.592E-6	0.0650635	
2.6E-6	-0.00646973	
2.608E-6	-0.153076	
2.616E-6	-0.160034	
2.624E-6	-0.0787354	
2.632E-6	-0.169678	
