Time - Plot 0	Amplitude - Plot 0	
0	-0.802246	
8E-9	-0.979736	
1.6E-8	-0.900024	
2.4E-8	-0.868896	
3.2E-8	-0.8927	
4E-8	-0.999146	
4.8E-8	-0.998169	
5.6E-8	-1	
6.4E-8	-1	
7.2E-8	-1	
8E-8	-1	
8.8E-8	-0.999878	
9.6E-8	-0.999878	
1.04E-7	-0.839355	
1.12E-7	-0.796997	
1.2E-7	-0.860718	
1.28E-7	-1	
1.36E-7	-1	
1.44E-7	-0.952759	
1.52E-7	-0.915039	
1.6E-7	-0.929199	
1.68E-7	-0.846069	
1.76E-7	-0.811646	
1.84E-7	-1	
1.92E-7	-0.930664	
2E-7	-1	
2.08E-7	-0.961914	
2.16E-7	-1	
2.24E-7	-0.944702	
2.32E-7	-0.820801	
2.4E-7	-1	
2.48E-7	-0.999878	
2.56E-7	-0.802856	
2.64E-7	-0.981201	
2.72E-7	-1	
2.8E-7	-0.856934	
2.88E-7	-1	
2.96E-7	-0.987915	
3.04E-7	-0.77832	
3.12E-7	-0.913208	
3.2E-7	-1	
3.28E-7	-0.960693	
3.36E-7	-1	
3.44E-7	-0.975708	
3.52E-7	-0.878296	
3.6E-7	-1	
3.68E-7	-1	
3.76E-7	-0.974365	
3.84E-7	-1	
3.92E-7	-0.949707	
4E-7	-0.960937	
4.08E-7	-1	
4.16E-7	-0.888672	
4.24E-7	-0.882812	
4.32E-7	-0.800903	
4.4E-7	-0.841431	
4.48E-7	-0.909424	
4.56E-7	-0.879395	
4.64E-7	-1	
4.72E-7	-0.832886	
4.8E-7	-0.809937	
4.88E-7	0.999878	
4.96E-7	0.999878	
5.04E-7	0.999878	
5.12E-7	0.958008	
5.2E-7	0.939941	
5.28E-7	0.911987	
5.36E-7	0.773437	
5.44E-7	0.945801	
5.52E-7	0.879395	
5.6E-7	0.817139	
5.68E-7	0.999878	
5.76E-7	0.999878	
5.84E-7	0.765869	
5.92E-7	0.868896	
6E-7	0.999878	
6.08E-7	0.999756	
6.16E-7	0.999878	
6.24E-7	0.999878	
6.32E-7	0.99585	
6.4E-7	0.979126	
6.48E-7	0.996826	
6.56E-7	0.949829	
6.64E-7	0.986694	
6.72E-7	0.836914	
6.8E-7	0.882935	
6.88E-7	0.794434	
6.96E-7	0.881592	
7.04E-7	0.999878	
7.12E-7	0.894897	
7.2E-7	0.999878	
7.28E-7	0.999878	
7.36E-7	0.999878	
7.44E-7	0.999878	
7.52E-7	0.999878	
7.6E-7	0.993042	
7.68E-7	0.999023	
7.76E-7	0.969116	
7.84E-7	0.933472	
7.92E-7	0.939331	
8E-7	0.953247	
8.08E-7	0.8302	
8.16E-7	0.999878	
8.24E-7	0.867676	
8.32E-7	0.943604	
8.4E-7	0.94873	
8.48E-7	0.979614	
8.56E-7	0.999878	
8.64E-7	0.784668	
8.72E-7	0.87207	
8.8E-7	0.872925	
8.88E-7	0.814941	
8.96E-7	0.999878	
9.04E-7	0.831421	
9.12E-7	0.999878	
9.2E-7	0.999878	
9.28E-7	0.999756	
9.36E-7	0.999878	
9.44E-7	0.934204	
9.52E-7	0.902588	
9.6E-7	0.999878	
9.68E-7	0.78186	
9.76E-7	0.923462	
9.84E-7	0.884033	
9.92E-7	0.921875	
1E-6	0.880615	
1.008E-6	0.805542	
1.016E-6	0.894653	
1.024E-6	0.894043	
1.032E-6	0.999878	
1.04E-6	0.903931	
1.048E-6	0.999878	
1.056E-6	0.999878	
1.064E-6	0.999878	
1.072E-6	0.999878	
1.08E-6	0.831909	
1.088E-6	0.850464	
1.096E-6	0.968872	
1.104E-6	0.811035	
1.112E-6	0.910767	
1.12E-6	0.794556	
1.128E-6	0.825195	
1.136E-6	0.999878	
1.144E-6	0.994629	
1.152E-6	0.999878	
1.16E-6	0.884644	
1.168E-6	0.999878	
1.176E-6	0.999878	
1.184E-6	0.937256	
1.192E-6	0.999878	
1.2E-6	0.999878	
1.208E-6	0.999878	
1.216E-6	0.831055	
1.224E-6	0.959839	
1.232E-6	0.997559	
1.24E-6	0.922241	
1.248E-6	0.89978	
1.256E-6	0.994019	
1.264E-6	0.774048	
1.272E-6	0.789551	
1.28E-6	0.846436	
1.288E-6	0.999878	
1.296E-6	0.999878	
1.304E-6	0.805054	
1.312E-6	0.778564	
1.32E-6	0.999878	
1.328E-6	0.999878	
1.336E-6	0.848511	
1.344E-6	0.999878	
1.352E-6	0.971802	
1.36E-6	0.999878	
1.368E-6	0.999756	
1.376E-6	0.865356	
1.384E-6	0.794678	
1.392E-6	0.794556	
1.4E-6	0.85376	
1.408E-6	0.984863	
1.416E-6	0.91748	
1.424E-6	0.999878	
1.432E-6	0.999756	
1.44E-6	0.849731	
1.448E-6	0.962158	
1.456E-6	0.999878	
1.464E-6	0.909424	
1.472E-6	0.927002	
1.48E-6	0.879883	
1.488E-6	0.864258	
1.496E-6	0.999878	
1.504E-6	-0.835693	
1.512E-6	-0.845703	
1.52E-6	-1	
1.528E-6	-0.935791	
1.536E-6	-1	
1.544E-6	-0.988892	
1.552E-6	-0.826172	
1.56E-6	-0.886719	
1.568E-6	-0.900146	
1.576E-6	-0.866699	
1.584E-6	-1	
1.592E-6	-0.999878	
1.6E-6	-1	
1.608E-6	-0.904541	
1.616E-6	-1	
1.624E-6	-0.808594	
1.632E-6	-0.80896	
1.64E-6	-0.902344	
1.648E-6	-1	
1.656E-6	-0.817017	
