Time - Plot 0	Amplitude - Plot 0	
0	-5215	
8E-9	-5480	
1.6E-8	-5643	
2.4E-8	-5621	
3.2E-8	-5566	
4E-8	-5487	
4.8E-8	-5286	
5.6E-8	-5073	
6.4E-8	-5025	
7.2E-8	-5216	
8E-8	-5495	
8.8E-8	-5641	
9.6E-8	-5601	
1.04E-7	-5510	
1.12E-7	-5440	
1.2E-7	-5262	
1.28E-7	-4984	
1.36E-7	-4704	
1.44E-7	-4503	
1.52E-7	-4556	
1.6E-7	-4756	
1.68E-7	-4872	
1.76E-7	-4975	
1.84E-7	-5076	
1.92E-7	-5061	
2E-7	-4956	
2.08E-7	-4805	
2.16E-7	-4700	
2.24E-7	-4766	
2.32E-7	-4918	
2.4E-7	-5017	
2.48E-7	-5072	
2.56E-7	-5077	
2.64E-7	-5059	
2.72E-7	-5151	
2.8E-7	-5304	
2.88E-7	-5398	
2.96E-7	-5501	
3.04E-7	-5578	
3.12E-7	-5524	
3.2E-7	-5401	
3.28E-7	-5210	
3.36E-7	-4971	
3.44E-7	-4858	
3.52E-7	-4877	
3.6E-7	-4830	
3.68E-7	-4623	
3.76E-7	-4318	
3.84E-7	-4055	
3.92E-7	-3958	
4E-7	-3978	
4.08E-7	-3960	
4.16E-7	-3841	
4.24E-7	-3659	
4.32E-7	-3606	
4.4E-7	-3884	
4.48E-7	-4267	
4.56E-7	-4386	
4.64E-7	-4357	
4.72E-7	-4424	
4.8E-7	-4505	
4.88E-7	-4449	
4.96E-7	-4220	
5.04E-7	-3907	
5.12E-7	-3724	
5.2E-7	-3829	
5.28E-7	-4162	
5.36E-7	-4532	
5.44E-7	-4797	
5.52E-7	-4946	
5.6E-7	-4924	
5.68E-7	-4723	
5.76E-7	-4582	
5.84E-7	-4661	
5.92E-7	-4822	
6E-7	-4896	
6.08E-7	-4809	
6.16E-7	-4617	
6.24E-7	-4410	
6.32E-7	-4188	
6.4E-7	-4059	
6.48E-7	-4076	
6.56E-7	-4181	
6.64E-7	-4268	
6.72E-7	-4197	
6.8E-7	-4021	
6.88E-7	-3915	
6.96E-7	-3891	
7.04E-7	-3787	
7.12E-7	-3691	
7.2E-7	-3694	
7.28E-7	-3663	
7.36E-7	-3586	
7.44E-7	-3426	
7.52E-7	-3276	
7.6E-7	-3350	
7.68E-7	-3484	
7.76E-7	-3474	
7.84E-7	-3476	
7.92E-7	-3546	
8E-7	-3574	
8.08E-7	-3528	
8.16E-7	-3436	
8.24E-7	-3336	
8.32E-7	-3217	
8.4E-7	-3120	
8.48E-7	-3121	
8.56E-7	-3152	
8.64E-7	-3050	
8.72E-7	-2883	
8.8E-7	-2824	
8.88E-7	-2850	
8.96E-7	-2908	
9.04E-7	-3037	
9.12E-7	-3204	
9.2E-7	-3286	
9.28E-7	-3293	
9.36E-7	-3328	
9.44E-7	-3442	
9.52E-7	-3460	
9.6E-7	-3244	
9.68E-7	-2954	
9.76E-7	-2780	
9.84E-7	-2739	
9.92E-7	-2783	
1E-6	-2898	
1.008E-6	-2976	
1.016E-6	-3009	
1.024E-6	-3045	
1.032E-6	-3071	
1.04E-6	-3078	
1.048E-6	-2941	
1.056E-6	-2712	
1.064E-6	-2526	
1.072E-6	-2380	
1.08E-6	-2330	
1.088E-6	-2368	
1.096E-6	-2438	
1.104E-6	-2424	
1.112E-6	-2328	
1.12E-6	-2295	
1.128E-6	-2273	
1.136E-6	-2278	
1.144E-6	-2308	
1.152E-6	-2224	
1.16E-6	-2043	
1.168E-6	-1790	
1.176E-6	-1556	
1.184E-6	-1474	
1.192E-6	-1446	
1.2E-6	-1392	
1.208E-6	-1478	
1.216E-6	-1722	
1.224E-6	-1924	
1.232E-6	-2080	
1.24E-6	-2221	
1.248E-6	-2268	
1.256E-6	-2215	
1.264E-6	-2144	
1.272E-6	-2158	
1.28E-6	-2239	
1.288E-6	-2283	
1.296E-6	-2268	
1.304E-6	-2262	
1.312E-6	-2193	
1.32E-6	-1917	
1.328E-6	-1622	
1.336E-6	-1471	
1.344E-6	-1400	
1.352E-6	-1480	
1.36E-6	-1726	
1.368E-6	-1925	
1.376E-6	-1844	
1.384E-6	-1480	
1.392E-6	-1073	
1.4E-6	-837	
1.408E-6	-793	
1.416E-6	-908	
1.424E-6	-1204	
1.432E-6	-1544	
1.44E-6	-1662	
1.448E-6	-1572	
1.456E-6	-1458	
1.464E-6	-1354	
1.472E-6	-1342	
1.48E-6	-1454	
1.488E-6	-1539	
1.496E-6	-1443	
1.504E-6	-1155	
1.512E-6	-868	
1.52E-6	-689	
1.528E-6	-574	
1.536E-6	-615	
1.544E-6	-794	
1.552E-6	-891	
1.56E-6	-895	
1.568E-6	-829	
1.576E-6	-714	
1.584E-6	-729	
1.592E-6	-882	
1.6E-6	-1023	
1.608E-6	-1047	
1.616E-6	-1013	
1.624E-6	-1068	
1.632E-6	-1169	
1.64E-6	-1095	
1.648E-6	-858	
1.656E-6	-729	
1.664E-6	-762	
1.672E-6	-803	
1.68E-6	-804	
1.688E-6	-834	
1.696E-6	-780	
1.704E-6	-529	
1.712E-6	-312	
1.72E-6	-277	
1.728E-6	-275	
1.736E-6	-209	
1.744E-6	-137	
1.752E-6	-115	
1.76E-6	-130	
1.768E-6	-139	
1.776E-6	-53	
1.784E-6	147	
1.792E-6	333	
1.8E-6	427	
1.808E-6	384	
1.816E-6	198	
1.824E-6	22	
1.832E-6	15	
1.84E-6	192	
1.848E-6	475	
1.856E-6	660	
1.864E-6	704	
1.872E-6	824	
1.88E-6	970	
1.888E-6	909	
1.896E-6	720	
1.904E-6	617	
1.912E-6	647	
1.92E-6	794	
1.928E-6	984	
1.936E-6	1127	
1.944E-6	1213	
1.952E-6	1228	
1.96E-6	1154	
1.968E-6	1042	
1.976E-6	860	
1.984E-6	713	
1.992E-6	796	
2E-6	966	
2.008E-6	1076	
2.016E-6	1172	
2.024E-6	1190	
2.032E-6	1127	
2.04E-6	1139	
2.048E-6	1284	
2.056E-6	1568	
2.064E-6	1943	
2.072E-6	2294	
2.08E-6	2531	
2.088E-6	2666	
2.096E-6	2743	
2.104E-6	2764	
2.112E-6	2682	
2.12E-6	2517	
2.128E-6	2423	
2.136E-6	2368	
2.144E-6	2286	
2.152E-6	2264	
2.16E-6	2198	
2.168E-6	2078	
2.176E-6	2137	
2.184E-6	2312	
2.192E-6	2424	
2.2E-6	2547	
2.208E-6	2628	
2.216E-6	2574	
2.224E-6	2473	
2.232E-6	2356	
2.24E-6	2241	
2.248E-6	2147	
2.256E-6	2063	
2.264E-6	1995	
2.272E-6	1956	
2.28E-6	1922	
2.288E-6	1949	
2.296E-6	2197	
2.304E-6	2534	
2.312E-6	2770	
2.32E-6	2924	
2.328E-6	2937	
2.336E-6	2853	
2.344E-6	2809	
2.352E-6	2733	
2.36E-6	2634	
2.368E-6	2582	
2.376E-6	2557	
2.384E-6	2596	
2.392E-6	2672	
2.4E-6	2685	
2.408E-6	2646	
2.416E-6	2650	
2.424E-6	2701	
2.432E-6	2707	
2.44E-6	2634	
2.448E-6	2620	
2.456E-6	2712	
2.464E-6	2774	
2.472E-6	2833	
2.48E-6	2927	
2.488E-6	3025	
2.496E-6	3123	
2.504E-6	3147	
2.512E-6	3134	
2.52E-6	3167	
2.528E-6	3135	
2.536E-6	2989	
2.544E-6	2797	
2.552E-6	2623	
2.56E-6	2504	
2.568E-6	2462	
2.576E-6	2473	
2.584E-6	2529	
2.592E-6	2713	
2.6E-6	2990	
2.608E-6	3260	
2.616E-6	3575	
2.624E-6	3959	
2.632E-6	4214	
2.64E-6	4193	
2.648E-6	4021	
2.656E-6	3914	
2.664E-6	3926	
2.672E-6	3917	
2.68E-6	3808	
2.688E-6	3608	
2.696E-6	3457	
2.704E-6	3455	
