Time - Plot 0	Amplitude - Plot 0	
0	-5905	
8E-9	-5594	
1.6E-8	-4035	
2.4E-8	-4778	
3.2E-8	-5078	
4E-8	-6586	
4.8E-8	-6493	
5.6E-8	-5320	
6.4E-8	-5035	
7.2E-8	-4750	
8E-8	-6324	
8.8E-8	-4092	
9.6E-8	-4134	
1.04E-7	-4563	
1.12E-7	-3565	
1.2E-7	-5768	
1.28E-7	-6193	
1.36E-7	-3839	
1.44E-7	-5544	
1.52E-7	-5546	
1.6E-7	-4359	
1.68E-7	-4630	
1.76E-7	-4511	
1.84E-7	-4034	
1.92E-7	-5951	
2E-7	-5426	
2.08E-7	-4848	
2.16E-7	-5076	
2.24E-7	-5217	
2.32E-7	-4283	
2.4E-7	-6085	
2.48E-7	-5968	
2.56E-7	-4929	
2.64E-7	-5792	
2.72E-7	-6305	
2.8E-7	-4187	
2.88E-7	-5620	
2.96E-7	-4593	
3.04E-7	-3972	
3.12E-7	-5149	
3.2E-7	-5727	
3.28E-7	-4428	
3.36E-7	-3723	
3.44E-7	-3440	
3.52E-7	-3494	
3.6E-7	-4394	
3.68E-7	-4628	
3.76E-7	-3672	
3.84E-7	-3328	
3.92E-7	-3109	
4E-7	-3157	
4.08E-7	-6005	
4.16E-7	-5848	
4.24E-7	-3165	
4.32E-7	-3394	
4.4E-7	-5698	
4.48E-7	-4391	
4.56E-7	-4258	
4.64E-7	-3030	
4.72E-7	-3111	
4.8E-7	-3301	
4.88E-7	-5280	
4.96E-7	-5262	
5.04E-7	-5616	
5.12E-7	-4614	
5.2E-7	-5090	
5.28E-7	-4785	
5.36E-7	-3078	
5.44E-7	-4614	
5.52E-7	-5681	
5.6E-7	-5571	
5.68E-7	-4458	
5.76E-7	-4688	
5.84E-7	-3091	
5.92E-7	-5125	
6E-7	-2691	
6.08E-7	-4525	
6.16E-7	-4571	
6.24E-7	-4333	
6.32E-7	-5144	
6.4E-7	-2868	
6.48E-7	-3730	
6.56E-7	-3399	
6.64E-7	-5148	
6.72E-7	-2565	
6.8E-7	-3290	
6.88E-7	-5027	
6.96E-7	-2504	
7.04E-7	-4039	
7.12E-7	-2726	
7.2E-7	-2223	
7.28E-7	-4966	
7.36E-7	-4176	
7.44E-7	-2175	
7.52E-7	-3778	
7.6E-7	-4308	
7.68E-7	-3018	
7.76E-7	-3697	
7.84E-7	-2572	
7.92E-7	-3774	
8E-7	-2457	
8.08E-7	-3130	
8.16E-7	-3306	
8.24E-7	-3807	
8.32E-7	-2217	
8.4E-7	-1819	
8.48E-7	-3823	
8.56E-7	-2565	
