Time - Plot 0	Amplitude - Plot 0	
0	-0.600528	
8E-9	-0.628446	
1.6E-8	-0.654024	
2.4E-8	-0.675271	
3.2E-8	-0.689374	
4E-8	-0.687617	
4.8E-8	-0.661689	
5.6E-8	-0.62499	
6.4E-8	-0.595081	
7.2E-8	-0.574215	
8E-8	-0.563387	
8.8E-8	-0.570652	
9.6E-8	-0.601567	
1.04E-7	-0.645465	
1.12E-7	-0.683349	
1.2E-7	-0.698456	
1.28E-7	-0.693514	
1.36E-7	-0.691027	
1.44E-7	-0.696674	
1.52E-7	-0.698734	
1.6E-7	-0.690635	
1.68E-7	-0.677525	
1.76E-7	-0.658819	
1.84E-7	-0.634367	
1.92E-7	-0.622507	
2E-7	-0.618146	
2.08E-7	-0.600708	
2.16E-7	-0.575189	
2.24E-7	-0.560097	
2.32E-7	-0.575144	
2.4E-7	-0.618847	
2.48E-7	-0.669457	
2.56E-7	-0.711157	
2.64E-7	-0.737079	
2.72E-7	-0.745494	
2.8E-7	-0.731305	
2.88E-7	-0.697843	
2.96E-7	-0.660495	
3.04E-7	-0.625507	
3.12E-7	-0.606874	
3.2E-7	-0.610273	
3.28E-7	-0.618101	
3.36E-7	-0.632887	
3.44E-7	-0.65125	
3.52E-7	-0.646764	
3.6E-7	-0.626492	
3.68E-7	-0.6175	
3.76E-7	-0.623551	
3.84E-7	-0.628122	
3.92E-7	-0.620141	
4E-7	-0.614243	
4.08E-7	-0.621368	
4.16E-7	-0.626989	
4.24E-7	-0.624596	
4.32E-7	-0.632575	
4.4E-7	-0.644583	
4.48E-7	-0.632193	
4.56E-7	-0.601495	
4.64E-7	-0.574125	
4.72E-7	-0.55923	
4.8E-7	-0.549079	
4.88E-7	-0.535892	
4.96E-7	-0.534864	
5.04E-7	-0.549286	
5.12E-7	-0.558765	
5.2E-7	-0.551992	
5.28E-7	-0.531359	
5.36E-7	-0.51042	
5.44E-7	-0.506076	
5.52E-7	-0.511443	
5.6E-7	-0.516795	
5.68E-7	-0.53689	
5.76E-7	-0.572145	
5.84E-7	-0.59368	
5.92E-7	-0.595246	
6E-7	-0.589173	
6.08E-7	-0.573771	
6.16E-7	-0.56428	
6.24E-7	-0.575169	
6.32E-7	-0.594801	
6.4E-7	-0.600861	
6.48E-7	-0.586932	
6.56E-7	-0.569511	
6.64E-7	-0.559754	
6.72E-7	-0.56735	
6.8E-7	-0.588018	
6.88E-7	-0.595567	
6.96E-7	-0.58119	
7.04E-7	-0.565859	
7.12E-7	-0.562243	
7.2E-7	-0.553096	
7.28E-7	-0.523359	
7.36E-7	-0.494326	
7.44E-7	-0.495513	
7.52E-7	-0.525363	
7.6E-7	-0.554067	
7.68E-7	-0.553387	
7.76E-7	-0.535749	
7.84E-7	-0.530208	
7.92E-7	-0.542512	
8E-7	-0.556566	
8.08E-7	-0.548198	
8.16E-7	-0.512757	
8.24E-7	-0.471053	
8.32E-7	-0.4372	
8.4E-7	-0.413627	
8.48E-7	-0.414172	
8.56E-7	-0.432169	
8.64E-7	-0.43355	
8.72E-7	-0.411526	
8.8E-7	-0.382609	
8.88E-7	-0.370753	
8.96E-7	-0.383642	
9.04E-7	-0.394884	
9.12E-7	-0.392025	
9.2E-7	-0.38866	
9.28E-7	-0.395418	
9.36E-7	-0.402075	
9.44E-7	-0.404278	
9.52E-7	-0.418543	
9.6E-7	-0.434965	
9.68E-7	-0.435941	
9.76E-7	-0.434846	
9.84E-7	-0.444792	
9.92E-7	-0.469004	
1E-6	-0.493995	
1.008E-6	-0.493647	
1.016E-6	-0.467757	
1.024E-6	-0.431521	
1.032E-6	-0.395387	
1.04E-6	-0.375301	
1.048E-6	-0.381023	
1.056E-6	-0.403121	
1.064E-6	-0.423723	
1.072E-6	-0.43793	
1.08E-6	-0.450118	
1.088E-6	-0.445204	
1.096E-6	-0.4173	
1.104E-6	-0.386849	
1.112E-6	-0.371929	
1.12E-6	-0.37827	
1.128E-6	-0.402466	
1.136E-6	-0.426619	
1.144E-6	-0.430853	
1.152E-6	-0.425039	
1.16E-6	-0.426107	
1.168E-6	-0.422623	
1.176E-6	-0.406129	
1.184E-6	-0.39191	
1.192E-6	-0.381563	
1.2E-6	-0.366962	
1.208E-6	-0.351522	
1.216E-6	-0.342667	
1.224E-6	-0.338807	
1.232E-6	-0.342703	
1.24E-6	-0.355609	
1.248E-6	-0.358638	
1.256E-6	-0.345056	
1.264E-6	-0.328324	
1.272E-6	-0.325541	
1.28E-6	-0.343462	
1.288E-6	-0.37307	
1.296E-6	-0.387995	
1.304E-6	-0.378201	
1.312E-6	-0.368261	
1.32E-6	-0.365885	
1.328E-6	-0.352478	
1.336E-6	-0.318418	
1.344E-6	-0.278917	
1.352E-6	-0.252764	
1.36E-6	-0.246426	
1.368E-6	-0.256885	
1.376E-6	-0.275171	
1.384E-6	-0.285104	
1.392E-6	-0.284655	
1.4E-6	-0.29768	
1.408E-6	-0.325718	
1.416E-6	-0.348035	
1.424E-6	-0.360122	
1.432E-6	-0.372075	
1.44E-6	-0.38727	
1.448E-6	-0.389441	
1.456E-6	-0.367866	
1.464E-6	-0.331522	
1.472E-6	-0.289771	
1.48E-6	-0.262995	
1.488E-6	-0.268906	
1.496E-6	-0.284581	
1.504E-6	-0.272357	
1.512E-6	-0.238638	
1.52E-6	-0.213915	
1.528E-6	-0.195338	
1.536E-6	-0.170734	
1.544E-6	-0.146204	
1.552E-6	-0.124008	
1.56E-6	-0.111461	
1.568E-6	-0.125796	
1.576E-6	-0.162646	
1.584E-6	-0.197278	
1.592E-6	-0.209988	
1.6E-6	-0.206549	
1.608E-6	-0.204694	
1.616E-6	-0.201702	
1.624E-6	-0.196331	
1.632E-6	-0.192651	
1.64E-6	-0.179128	
1.648E-6	-0.163379	
1.656E-6	-0.15642	
1.664E-6	-0.148547	
1.672E-6	-0.136867	
1.68E-6	-0.131985	
1.688E-6	-0.145226	
1.696E-6	-0.167037	
1.704E-6	-0.175997	
1.712E-6	-0.164944	
1.72E-6	-0.151092	
1.728E-6	-0.155692	
1.736E-6	-0.167095	
1.744E-6	-0.168967	
1.752E-6	-0.162715	
1.76E-6	-0.147923	
1.768E-6	-0.13059	
1.776E-6	-0.110841	
1.784E-6	-0.0909747	
1.792E-6	-0.0850968	
1.8E-6	-0.0892625	
1.808E-6	-0.100049	
1.816E-6	-0.11326	
1.824E-6	-0.118951	
1.832E-6	-0.11794	
1.84E-6	-0.105551	
1.848E-6	-0.0863967	
1.856E-6	-0.0790455	
1.864E-6	-0.0911911	
1.872E-6	-0.106983	
1.88E-6	-0.103306	
1.888E-6	-0.072848	
1.896E-6	-0.0268848	
1.904E-6	0.00500774	
1.912E-6	0.00721002	
1.92E-6	0.0055939	
1.928E-6	0.018674	
1.936E-6	0.0234472	
1.944E-6	0.0051136	
1.952E-6	-0.0132258	
1.96E-6	-0.0209725	
1.968E-6	-0.0338746	
1.976E-6	-0.0419645	
1.984E-6	-0.027351	
1.992E-6	-0.00729895	
2E-6	0.00414217	
2.008E-6	0.0253493	
2.016E-6	0.0669094	
2.024E-6	0.110604	
2.032E-6	0.140171	
2.04E-6	0.152846	
2.048E-6	0.152687	
2.056E-6	0.157016	
2.064E-6	0.17017	
2.072E-6	0.173295	
2.08E-6	0.153243	
2.088E-6	0.11887	
2.096E-6	0.0968181	
2.104E-6	0.0984261	
2.112E-6	0.103844	
2.12E-6	0.0942397	
2.128E-6	0.0801256	
2.136E-6	0.0748417	
2.144E-6	0.0715504	
2.152E-6	0.072673	
2.16E-6	0.0845482	
2.168E-6	0.101299	
2.176E-6	0.128792	
2.184E-6	0.162136	
2.192E-6	0.17997	
2.2E-6	0.188234	
2.208E-6	0.19591	
2.216E-6	0.195133	
2.224E-6	0.196012	
2.232E-6	0.201827	
2.24E-6	0.198823	
2.248E-6	0.194724	
2.256E-6	0.188247	
2.264E-6	0.164007	
2.272E-6	0.142935	
2.28E-6	0.144577	
2.288E-6	0.150688	
2.296E-6	0.161204	
2.304E-6	0.180239	
2.312E-6	0.192115	
2.32E-6	0.197288	
2.328E-6	0.205783	
2.336E-6	0.223112	
2.344E-6	0.24504	
2.352E-6	0.257733	
2.36E-6	0.24688	
2.368E-6	0.220062	
2.376E-6	0.203998	
2.384E-6	0.209173	
2.392E-6	0.227197	
2.4E-6	0.23903	
2.408E-6	0.242667	
2.416E-6	0.260657	
2.424E-6	0.290374	
2.432E-6	0.313571	
2.44E-6	0.329579	
2.448E-6	0.335131	
2.456E-6	0.326759	
2.464E-6	0.315486	
2.472E-6	0.306093	
2.48E-6	0.298385	
2.488E-6	0.299152	
2.496E-6	0.31475	
2.504E-6	0.34195	
2.512E-6	0.359226	
2.52E-6	0.359331	
2.528E-6	0.358273	
2.536E-6	0.348136	
2.544E-6	0.327205	
2.552E-6	0.314068	
2.56E-6	0.311589	
2.568E-6	0.325558	
2.576E-6	0.350581	
2.584E-6	0.37092	
2.592E-6	0.393402	
2.6E-6	0.411301	
2.608E-6	0.405946	
2.616E-6	0.392899	
2.624E-6	0.397194	
2.632E-6	0.411023	
2.64E-6	0.41083	
2.648E-6	0.398867	
2.656E-6	0.383028	
2.664E-6	0.354456	
2.672E-6	0.325392	
2.68E-6	0.32661	
2.688E-6	0.350206	
2.696E-6	0.370315	
2.704E-6	0.392236	
2.712E-6	0.412907	
2.72E-6	0.417644	
2.728E-6	0.417812	
2.736E-6	0.418094	
2.744E-6	0.404924	
2.752E-6	0.389106	
2.76E-6	0.385804	
2.768E-6	0.387164	
2.776E-6	0.379248	
2.784E-6	0.36651	
2.792E-6	0.364672	
2.8E-6	0.372244	
2.808E-6	0.391608	
2.816E-6	0.414264	
2.824E-6	0.427797	
2.832E-6	0.436666	
2.84E-6	0.426802	
2.848E-6	0.395332	
2.856E-6	0.369064	
2.864E-6	0.364911	
2.872E-6	0.374152	
2.88E-6	0.390705	
2.888E-6	0.41535	
2.896E-6	0.43246	
2.904E-6	0.431374	
2.912E-6	0.422886	
2.92E-6	0.426522	
2.928E-6	0.454787	
2.936E-6	0.494535	
2.944E-6	0.512915	
2.952E-6	0.493543	
2.96E-6	0.454689	
2.968E-6	0.416493	
2.976E-6	0.386942	
2.984E-6	0.372918	
2.992E-6	0.37937	
3E-6	0.414752	
3.008E-6	0.475289	
3.016E-6	0.530636	
3.024E-6	0.55164	
3.032E-6	0.53872	
3.04E-6	0.519998	
3.048E-6	0.52431	
3.056E-6	0.54478	
3.064E-6	0.562502	
3.072E-6	0.566004	
3.08E-6	0.544692	
3.088E-6	0.511269	
3.096E-6	0.489363	
3.104E-6	0.489119	
3.112E-6	0.496802	
3.12E-6	0.503023	
3.128E-6	0.516758	
3.136E-6	0.528938	
3.144E-6	0.537302	
3.152E-6	0.553039	
3.16E-6	0.571775	
3.168E-6	0.592987	
3.176E-6	0.610789	
3.184E-6	0.60374	
3.192E-6	0.580679	
3.2E-6	0.57647	
3.208E-6	0.591203	
3.216E-6	0.595489	
3.224E-6	0.577205	
3.232E-6	0.556136	
3.24E-6	0.560403	
3.248E-6	0.590393	
3.256E-6	0.614036	
3.264E-6	0.616066	
3.272E-6	0.622984	
3.28E-6	0.634674	
3.288E-6	0.622133	
3.296E-6	0.592324	
3.304E-6	0.561931	
3.312E-6	0.54098	
3.32E-6	0.547252	
3.328E-6	0.578981	
3.336E-6	0.618145	
3.344E-6	0.643521	
3.352E-6	0.63743	
3.36E-6	0.612903	
3.368E-6	0.600649	
3.376E-6	0.598247	
3.384E-6	0.582532	
3.392E-6	0.56185	
3.4E-6	0.553307	
3.408E-6	0.556264	
3.416E-6	0.561327	
3.424E-6	0.562049	
3.432E-6	0.571063	
3.44E-6	0.591579	
3.448E-6	0.605074	
3.456E-6	0.612445	
3.464E-6	0.6273	
3.472E-6	0.646397	
3.48E-6	0.657852	
3.488E-6	0.657265	
3.496E-6	0.64898	
3.504E-6	0.63818	
3.512E-6	0.632043	
3.52E-6	0.634828	
3.528E-6	0.638985	
3.536E-6	0.628526	
3.544E-6	0.604791	
3.552E-6	0.582529	
3.56E-6	0.574674	
3.568E-6	0.578147	
3.576E-6	0.586113	
3.584E-6	0.613262	
3.592E-6	0.657119	
3.6E-6	0.698489	
3.608E-6	0.731777	
3.616E-6	0.7549	
3.624E-6	0.75314	
3.632E-6	0.719992	
3.64E-6	0.685134	
3.648E-6	0.672144	
3.656E-6	0.673822	
3.664E-6	0.686123	
3.672E-6	0.701456	
3.68E-6	0.707037	
3.688E-6	0.699454	
3.696E-6	0.672247	
3.704E-6	0.638913	
3.712E-6	0.623673	
3.72E-6	0.611777	
3.728E-6	0.587198	
3.736E-6	0.573151	
3.744E-6	0.576448	
3.752E-6	0.579243	
3.76E-6	0.583111	
3.768E-6	0.58273	
3.776E-6	0.5763	
3.784E-6	0.575975	
3.792E-6	0.584278	
3.8E-6	0.59541	
3.808E-6	0.593732	
3.816E-6	0.580691	
3.824E-6	0.581059	
3.832E-6	0.605599	
3.84E-6	0.641056	
3.848E-6	0.670777	
3.856E-6	0.687658	
3.864E-6	0.701182	
3.872E-6	0.704213	
3.88E-6	0.684539	
3.888E-6	0.657325	
3.896E-6	0.63263	
3.904E-6	0.615797	
3.912E-6	0.602236	
3.92E-6	0.57805	
3.928E-6	0.55167	
3.936E-6	0.534393	
3.944E-6	0.53099	
3.952E-6	0.5444	
3.96E-6	0.567034	
3.968E-6	0.601417	
3.976E-6	0.637369	
3.984E-6	0.651369	
3.992E-6	0.647102	
4E-6	0.63781	
4.008E-6	0.634592	
4.016E-6	0.650234	
4.024E-6	0.674689	
4.032E-6	0.676445	
4.04E-6	0.641382	
4.048E-6	0.596281	
4.056E-6	0.565856	
4.064E-6	0.538248	
4.072E-6	0.507538	
4.08E-6	0.486331	
4.088E-6	0.486093	
4.096E-6	0.508891	
4.104E-6	0.549633	
4.112E-6	0.599677	
4.12E-6	0.638793	
4.128E-6	0.643536	
4.136E-6	0.619119	
4.144E-6	0.602745	
4.152E-6	0.601382	
4.16E-6	0.599167	
4.168E-6	0.595222	
4.176E-6	0.579794	
4.184E-6	0.555344	
4.192E-6	0.541359	
4.2E-6	0.539506	
4.208E-6	0.530092	
4.216E-6	0.503797	
4.224E-6	0.48728	
4.232E-6	0.502113	
4.24E-6	0.521348	
4.248E-6	0.520312	
4.256E-6	0.517482	
4.264E-6	0.523164	
4.272E-6	0.528044	
4.28E-6	0.538537	
4.288E-6	0.549562	
4.296E-6	0.553082	
4.304E-6	0.564502	
4.312E-6	0.57608	
4.32E-6	0.567399	
4.328E-6	0.541197	
4.336E-6	0.504329	
4.344E-6	0.474507	
4.352E-6	0.470698	
4.36E-6	0.491068	
4.368E-6	0.521761	
4.376E-6	0.542757	
4.384E-6	0.557087	
4.392E-6	0.572649	
4.4E-6	0.574624	
4.408E-6	0.553485	
4.416E-6	0.522173	
4.424E-6	0.497755	
