Time - Plot 0	Amplitude - Plot 0	
0	0.919394	
8E-9	0.888904	
1.6E-8	0.876166	
2.4E-8	0.885285	
3.2E-8	0.903005	
4E-8	0.920596	
4.8E-8	0.93994	
5.6E-8	0.952679	
6.4E-8	0.953697	
7.2E-8	0.951018	
8E-8	0.941858	
8.8E-8	0.929373	
9.6E-8	0.922422	
1.04E-7	0.916793	
1.12E-7	0.917291	
1.2E-7	0.930228	
1.28E-7	0.947842	
1.36E-7	0.953618	
1.44E-7	0.943933	
1.52E-7	0.938447	
1.6E-7	0.945412	
1.68E-7	0.957285	
1.76E-7	0.886052	
1.84E-7	0.618967	
1.92E-7	0.220536	
2E-7	-0.176011	
2.08E-7	-0.514505	
2.16E-7	-0.762658	
2.24E-7	-0.912633	
2.32E-7	-0.988408	
2.4E-7	-1.01544	
2.48E-7	-1.00946	
2.56E-7	-0.978688	
2.64E-7	-0.94388	
2.72E-7	-0.927205	
2.8E-7	-0.926844	
2.88E-7	-0.929409	
2.96E-7	-0.926208	
3.04E-7	-0.911784	
3.12E-7	-0.89273	
3.2E-7	-0.887699	
3.28E-7	-0.894883	
3.36E-7	-0.904158	
3.44E-7	-0.918535	
3.52E-7	-0.936777	
3.6E-7	-0.955022	
3.68E-7	-0.966214	
3.76E-7	-0.957515	
3.84E-7	-0.93478	
3.92E-7	-0.912045	
4E-7	-0.895883	
4.08E-7	-0.895209	
4.16E-7	-0.905158	
4.24E-7	-0.909171	
4.32E-7	-0.907334	
4.4E-7	-0.913023	
4.48E-7	-0.928095	
4.56E-7	-0.940003	
4.64E-7	-0.942972	
4.72E-7	-0.947979	
4.8E-7	-0.957922	
4.88E-7	-0.960243	
4.96E-7	-0.947978	
5.04E-7	-0.931813	
5.12E-7	-0.920396	
5.2E-7	-0.912597	
5.28E-7	-0.916847	
5.36E-7	-0.92551	
5.44E-7	-0.921782	
5.52E-7	-0.915405	
5.6E-7	-0.914636	
5.68E-7	-0.908264	
5.76E-7	-0.898487	
5.84E-7	-0.899363	
5.92E-7	-0.910389	
6E-7	-0.920391	
6.08E-7	-0.924048	
6.16E-7	-0.931889	
6.24E-7	-0.940993	
6.32E-7	-0.941314	
6.4E-7	-0.944165	
6.48E-7	-0.948351	
6.56E-7	-0.942895	
6.64E-7	-0.938007	
6.72E-7	-0.940579	
6.8E-7	-0.945499	
6.88E-7	-0.95432	
6.96E-7	-0.967088	
7.04E-7	-0.979047	
7.12E-7	-0.980367	
7.2E-7	-0.962516	
7.28E-7	-0.930942	
7.36E-7	-0.896895	
7.44E-7	-0.877071	
7.52E-7	-0.881415	
7.6E-7	-0.893872	
7.68E-7	-0.901278	
7.76E-7	-0.91274	
7.84E-7	-0.932941	
7.92E-7	-0.944991	
8E-7	-0.940532	
8.08E-7	-0.931947	
8.16E-7	-0.916029	
8.24E-7	-0.89649	
8.32E-7	-0.889871	
8.4E-7	-0.885967	
8.48E-7	-0.878146	
8.56E-7	-0.878604	
8.64E-7	-0.892057	
8.72E-7	-0.905666	
8.8E-7	-0.903317	
8.88E-7	-0.889159	
8.96E-7	-0.880642	
9.04E-7	-0.890782	
9.12E-7	-0.915909	
9.2E-7	-0.937117	
9.28E-7	-0.938213	
9.36E-7	-0.921041	
9.44E-7	-0.901978	
9.52E-7	-0.897107	
9.6E-7	-0.910306	
9.68E-7	-0.92811	
9.76E-7	-0.939937	
9.84E-7	-0.95174	
9.92E-7	-0.96506	
1E-6	-0.970763	
1.008E-6	-0.968536	
1.016E-6	-0.958706	
1.024E-6	-0.941428	
1.032E-6	-0.926279	
1.04E-6	-0.909016	
1.048E-6	-0.892785	
1.056E-6	-0.896031	
1.064E-6	-0.916818	
1.072E-6	-0.932673	
1.08E-6	-0.933093	
1.088E-6	-0.93132	
1.096E-6	-0.934986	
1.104E-6	-0.944904	
1.112E-6	-0.959105	
1.12E-6	-0.971962	
1.128E-6	-0.982617	
1.136E-6	-0.982595	
1.144E-6	-0.968843	
1.152E-6	-0.956706	
1.16E-6	-0.953431	
1.168E-6	-0.952168	
1.176E-6	-0.948082	
1.184E-6	-0.946959	
1.192E-6	-0.861039	
1.2E-6	-0.577953	
1.208E-6	-0.169985	
1.216E-6	0.228859	
1.224E-6	0.551348	
1.232E-6	0.773024	
1.24E-6	0.898019	
1.248E-6	0.954342	
1.256E-6	0.972452	
1.264E-6	0.967174	
1.272E-6	0.955847	
1.28E-6	0.948081	
1.288E-6	0.937952	
1.296E-6	0.91672	
1.304E-6	0.897872	
1.312E-6	0.900063	
1.32E-6	0.919007	
1.328E-6	0.932465	
1.336E-6	0.921241	
1.344E-6	0.902007	
1.352E-6	0.897609	
1.36E-6	0.902309	
1.368E-6	0.910622	
1.376E-6	0.926089	
1.384E-6	0.945427	
1.392E-6	0.952881	
1.4E-6	0.941686	
1.408E-6	0.927043	
1.416E-6	0.920147	
1.424E-6	0.924374	
1.432E-6	0.936847	
1.44E-6	0.950363	
1.448E-6	0.954807	
1.456E-6	0.947092	
1.464E-6	0.933876	
1.472E-6	0.916352	
1.48E-6	0.907423	
1.488E-6	0.917339	
1.496E-6	0.931717	
1.504E-6	0.939883	
1.512E-6	0.949234	
1.52E-6	0.963085	
1.528E-6	0.97651	
1.536E-6	0.977279	
1.544E-6	0.961609	
1.552E-6	0.949114	
1.56E-6	0.939358	
1.568E-6	0.924734	
1.576E-6	0.9217	
1.584E-6	0.931551	
1.592E-6	0.937141	
1.6E-6	0.936986	
1.608E-6	0.942225	
1.616E-6	0.945064	
1.624E-6	0.932824	
1.632E-6	0.91183	
1.64E-6	0.895753	
1.648E-6	0.898444	
1.656E-6	0.907934	
1.664E-6	0.908462	
1.672E-6	0.908227	
1.68E-6	0.901145	
1.688E-6	0.877871	
1.696E-6	0.853033	
1.704E-6	0.845901	
1.712E-6	0.852477	
1.72E-6	0.860308	
1.728E-6	0.868153	
1.736E-6	0.875651	
